MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,EXC
3,FAIL
4,FAIL
5,FAIL
17,LIVE
18,FAIL
19,LIVE
22,LIVE
23,EXC
24,EXC
25,LIVE
26,LIVE
27,FAIL
28,LIVE
29,LIVE
30,EXC
31,LIVE
32,EXC
33,FAIL
34,EXC
35,EXC
36,EXC
38,EXC
39,EXC
40,EXC
41,FAIL
42,EXC
44,EXC
45,LIVE
46,FAIL
47,FAIL
48,FAIL
49,EXC
50,EXC
51,EXC
52,EXC
53,EXC
54,EXC
55,LIVE
56,EXC
57,EXC
58,EXC
59,EXC
60,FAIL
61,FAIL
62,FAIL
63,FAIL
64,EXC
65,EXC
66,EXC
67,EXC
68,EXC
69,EXC
70,LIVE
72,FAIL
73,FAIL
74,EXC
75,FAIL
76,EXC
77,EXC
78,EXC
79,EXC
80,EXC
81,EXC
82,EXC
83,EXC
84,LIVE
85,FAIL
86,EXC
87,EXC
88,EXC
89,LIVE
90,LIVE
91,EXC
92,EXC
93,LIVE
94,EXC
95,EXC
96,EXC
97,FAIL
98,FAIL
99,FAIL
100,FAIL
101,EXC
102,FAIL
103,EXC
104,EXC
105,EXC
106,EXC
107,LIVE
108,LIVE
109,LIVE
110,EXC
111,LIVE
112,LIVE
113,EXC
114,EXC
115,FAIL
116,EXC
117,LIVE
118,LIVE
119,LIVE
120,EXC
121,LIVE
122,EXC
123,LIVE
124,LIVE
125,EXC
126,EXC
127,EXC
128,LIVE
129,LIVE
130,LIVE
131,EXC
132,LIVE
133,LIVE
134,EXC
135,EXC
136,EXC
137,EXC
138,EXC
139,EXC
140,LIVE
141,EXC
142,EXC
143,LIVE
144,FAIL
145,LIVE
146,EXC
147,EXC
148,FAIL
149,LIVE
150,LIVE
152,EXC
153,LIVE
154,EXC
155,EXC
156,EXC
157,FAIL
158,EXC
159,EXC
160,EXC
161,FAIL
162,EXC
163,FAIL
164,FAIL
165,EXC
166,EXC
167,EXC
168,EXC
169,EXC
170,EXC
171,FAIL
172,FAIL
173,LIVE
174,FAIL
175,EXC
176,FAIL
177,FAIL
178,EXC
179,LIVE
180,LIVE
181,EXC
182,LIVE
183,LIVE
184,EXC
185,EXC
186,FAIL
187,LIVE
188,FAIL
189,FAIL
190,FAIL
191,EXC
192,EXC
193,EXC
194,EXC
196,EXC
197,EXC
198,EXC
199,EXC
200,EXC
201,EXC
202,EXC
203,LIVE
204,EXC
205,EXC
206,EXC
207,EXC
208,FAIL
209,EXC
210,EXC
211,LIVE
212,LIVE
213,LIVE
214,FAIL
215,EXC
216,EXC
217,LIVE
218,FAIL
219,EXC
220,EXC
221,FAIL
222,EXC
223,EXC
224,EXC
225,FAIL
226,LIVE
227,LIVE
228,FAIL
229,LIVE
230,FAIL
231,LIVE
232,LIVE
233,LIVE
234,LIVE
235,LIVE
236,FAIL
237,FAIL
238,FAIL
239,LIVE
240,FAIL
241,FAIL
242,LIVE
243,FAIL
244,FAIL
245,FAIL
246,FAIL
247,LIVE
248,LIVE
249,LIVE
250,LIVE
251,LIVE
252,LIVE
253,LIVE
254,FAIL
255,LIVE
256,LIVE
257,LIVE
258,EXC
259,LIVE
260,LIVE
261,LIVE
262,EXC
263,EXC
264,EXC
265,FAIL
266,FAIL
267,FAIL
268,LIVE
269,LIVE
270,LIVE
271,FAIL
272,EXC
273,EXC
274,FAIL
275,LIVE
276,EXC
277,FAIL
278,EXC
279,EXC
280,FAIL
281,LIVE
282,EXC
283,EXC
284,LIVE
285,EXC
286,EXC
287,FAIL
288,EXC
289,FAIL
290,EXC
291,EXC
292,EXC
293,FAIL
294,FAIL
295,EXC
296,FAIL
297,EXC
298,EXC
299,EXC
300,EXC
301,FAIL
302,FAIL
303,FAIL
304,EXC
312,EXC
313,FAIL
314,FAIL
315,LIVE
316,LIVE
317,FAIL
318,EXC
319,EXC
320,EXC
