CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
5595,1,25,224,337,337,224,78,145,0,5813,337
14595,2,42,178,397,480,402,142,246,2,5635,734
18740,3,29,11,220,469,413,150,249,2,5624,954
19731,4,13,50,95,147,463,188,261,2,5574,1049
30314,5,32,106,266,351,569,230,313,3,5468,1315
42543,6,27,236,385,451,805,331,424,6,5232,1700
50118,7,19,169,336,447,974,385,533,6,5063,2036
51993,8,9,38,93,161,1012,398,550,7,5025,2129
56620,9,15,128,173,236,1140,438,615,8,4897,2302
66738,10,21,119,274,459,1259,477,664,12,4778,2576
132731,11,229,137,358,672,1396,527,740,14,4641,2934
133681,12,10,35,104,198,1431,531,771,14,4606,3038
136080,13,9,91,145,224,1522,584,801,14,4515,3183
146299,14,29,200,393,553,1722,621,960,14,4315,3576
152885,15,24,4,184,556,1726,623,961,14,4311,3760
339308,16,1060,56,230,660,1782,649,991,14,4255,3990
494428,17,911,16,176,591,1798,657,998,14,4239,4166
581445,18,60,281,453,526,2079,657,1186,44,3958,4619
582698,19,13,51,100,298,2130,683,1209,44,3907,4719
583855,20,19,63,110,196,2193,717,1237,44,3844,4829
586430,21,22,114,217,366,2307,769,1299,44,3730,5046
589812,22,26,104,167,270,2411,822,1345,45,3626,5213
591541,23,17,46,102,193,2457,822,1391,45,3580,5315
593602,24,23,41,86,171,2498,842,1408,45,3539,5401
626720,25,303,32,129,241,2530,849,1431,45,3507,5530
1477457,26,1429,322,509,662,2852,958,1618,45,3185,6039
1479348,27,11,32,56,139,2884,968,1632,45,3153,6095
1479416,28,1,0,22,41,2884,968,1632,45,3153,6117
1480558,29,9,55,125,205,2939,973,1681,45,3098,6242
1484604,30,13,214,359,465,3153,1029,1837,45,2884,6601
1667389,31,953,160,334,589,3313,1117,1908,45,2724,6935
1667743,32,6,40,79,79,3353,1139,1926,45,2684,7014
1688457,33,42,414,672,886,3767,1249,2216,45,2270,7686
1696704,34,213,4,49,266,3771,1250,2219,45,2266,7735
1765909,35,99,238,465,747,4009,1420,2269,47,2028,8200
1769384,36,28,17,125,296,4026,1422,2282,47,2011,8325
1770255,37,9,37,78,196,4063,1453,2287,47,1974,8403
1770536,38,16,3,31,153,4066,1456,2287,47,1971,8434
1770767,39,9,13,29,110,4079,1465,2291,47,1958,8463
1771345,40,9,16,63,166,4095,1476,2296,47,1942,8526
1771597,41,11,8,28,117,4103,1484,2296,47,1934,8554
1772838,42,15,26,128,256,4129,1508,2298,47,1908,8682
1773232,43,15,12,42,154,4141,1519,2299,47,1896,8724
1773885,44,17,14,62,203,4155,1532,2300,47,1882,8786
1774095,45,26,1,17,84,4156,1533,2300,47,1881,8803
1774653,46,13,33,56,218,4189,1557,2309,47,1848,8859
1775652,47,12,29,91,304,4218,1575,2320,47,1819,8950
1776457,48,15,9,66,250,4227,1584,2320,47,1810,9016
1778497,49,22,18,155,501,4245,1590,2332,47,1792,9171
1779448,50,21,14,79,292,4259,1601,2335,47,1778,9250
1780370,51,20,0,73,321,4259,1601,2335,47,1778,9323
1781034,52,14,7,56,234,4266,1607,2336,47,1771,9379
1793791,53,90,8,36,148,4274,1608,2338,48,1763,9415
1793845,54,2,2,12,31,4276,1610,2338,48,1761,9427
